id,x_gis,y_gis,x_nlogo,y_nlogo
349,163616.69738698954,5398332.226143755,-30.219178690539238,35.77201939026111
350,163625.0018210028,5398335.821080541,-28.283302486956117,36.511843186479496
351,163631.13552494548,5398341.612926075,-26.853452904976024,37.703782128632156
352,163635.20981830853,5398347.9885692485,-25.903679861400008,39.015864319850664
353,163635.20981830853,5398347.9885692485,-25.903679861400008,39.015864319850664
354,163637.7590346477,5398358.281785566,-25.309422957090106,41.1341675959448
355,163637.803562444,5398365.825030472,-25.299042923830868,42.68653761351621
356,163637.803562444,5398365.825030472,-25.299042923830868,42.68653761351621
357,163635.10963076682,5398376.932508186,-25.927034936241768,44.97241266993191
358,163635.10963076682,5398376.932508186,-25.927034936241768,44.97241266993191
359,163632.6494700203,5398382.37102911,-26.500531774026413,46.091638802274645
360,163621.383937552,5398395.24528064,-29.12668018958938,48.741108934066744
361,163613.6917607381,5398399.854205588,-30.919830935805464,49.689607490243986
362,163604.8975209653,5398403.694978133,-32.969887505287645,50.48002331494496
363,163595.64687128048,5398404.171234039,-35.126339415671865,50.57803489989456
364,163779.64685761335,5398438.9533445705,7.76655303582811,57.73605591232959
365,163778.32589182188,5398439.323758649,7.458617993250741,57.81228566707341
366,163661.78178076097,5398319.597787146,-19.709395011640765,33.173153462504104
367,163662.58838088994,5398318.479230547,-19.5213655814609,32.94295893095415
368,163684.7692556099,5398287.719712992,-14.350702839551701,26.61277167016216
369,163685.622043315,5398286.640651515,-14.151906458920251,26.39070507871149
370,163696.71383697202,5398255.473040301,-11.566258916729439,19.976533754378906
371,163695.5444566757,5398254.751495006,-11.838857324394027,19.828042581482336
372,163973.52088277956,5398482.554072357,52.961217863409416,66.708913535975
373,163972.74814815915,5398483.697522829,52.78108294260238,66.94423112837282
374,163953.81733290918,5398468.22019521,48.36805314450598,63.75905821551376
375,163953.04288228267,5398469.362681349,48.18751819939996,63.99417735192537
376,164116.55529650048,5398278.05645341,86.30447971287333,24.624111002847158
377,164115.9084644683,5398277.596080536,86.15369439302768,24.52936808321782
378,164114.78531659677,5398276.796696943,85.8918733906441,24.364858096137937
379,164113.66988720404,5398275.988220803,85.63185167035533,24.198476898786907
380,163926.0431199561,5398464.93247089,41.893507396625324,63.082457531865685
381,163925.2277147091,5398466.043525239,41.703425374005406,63.31110813010267
382,164034.41264424377,5398341.274940293,67.1559133507333,37.634225989222244
383,164033.31398803744,5398340.446689126,66.8998016876912,37.46377516931088
384,164021.19902068653,5398331.350454242,64.07563847989738,35.59180594608131
385,164020.9845271699,5398331.201222014,64.0256371319426,35.56109454273414
386,164019.85205484793,5398330.413312918,63.76164247368854,35.39894596176569
387,164018.7225232351,5398329.62143592,63.498333334622856,35.2359808022961
388,164019.85205484793,5398330.413312918,63.76164247368854,35.39894596176569
389,164018.84802270628,5398331.358196094,63.52758896353481,35.59339918859956
390,163396.73007318127,5398235.608900037,-81.4965430103108,15.888572120235096
391,163398.1067639074,5398235.61886504,-81.17561772965645,15.890622878602613
392,163410.26652326167,5398234.256972475,-78.34101289835054,15.610350766042586
393,163411.63509426752,5398234.16497213,-78.02198043462023,15.591417458346982
394,163414.95307382406,5398253.752401557,-77.24851439741427,19.62243309458968
395,163416.32897399802,5398253.75240172,-76.92777340518825,19.62243312813061
396,163421.89941004972,5398249.804151374,-75.62922920833614,18.80989879636965
397,163422.79064798928,5398248.757971906,-75.4214695565436,18.594599192668838
