lanes_,maxspeed,oneway_,isRound_,isOpBus_,busBid_,type_,category_,id_,lat_,lon_,busRts_
2,30.0,yes,False,True,,tertiary,road,219983574,0.0,0.0,"[37, L7, 27]"
2,30.0,yes,False,False,,tertiary,road,219983576,0.0,0.0,[]
0,30.0,yes,False,True,,tertiary,road,219983580,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,219983580,0.0,0.0,[L7]
0,30.0,yes,False,True,,tertiary,road,219983580,0.0,0.0,[L7]
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
2,50.0,,False,True,,busway,road,221966543,0.0,0.0,"[37, 27]"
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966545,0.0,0.0,[L7]
0,30.0,,True,True,,tertiary,road,221966546,0.0,0.0,[L7]
0,50.0,,False,False,,cycleway,cycleway,226312817,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,283141566,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,283141566,0.0,0.0,[]
0,50.0,,False,False,,path,cycleway,283141566,0.0,0.0,[]
0,50.0,,False,False,,service,road,361777983,0.0,0.0,[]
0,50.0,,False,False,,service,road,361777987,0.0,0.0,[]
0,50.0,,False,False,,service,road,361777988,0.0,0.0,[]
0,50.0,,False,False,,service,road,361777988,0.0,0.0,[]
0,50.0,,False,False,,service,road,361777989,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,385140144,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,385140146,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,385140146,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,385140147,0.0,0.0,[]
2,50.0,,False,False,,residential,road,443106541,0.0,0.0,[]
2,50.0,,False,False,,residential,road,443106541,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,443106547,0.0,0.0,[]
0,50.0,,False,False,,cycleway,cycleway,443106547,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106550,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106550,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106550,0.0,0.0,[]
0,50.0,yes,False,False,,service,road,443106551,0.0,0.0,[]
0,50.0,yes,False,False,,service,road,443106551,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106554,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106554,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106554,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106554,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106554,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106556,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106556,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106556,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106556,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106556,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106558,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106558,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106558,0.0,0.0,[]
0,50.0,,False,False,,footway,pedestrian,443106558,0.0,0.0,[]
